Timestamp,Your Survey-ID,How old are you? ,Your gender?,Where do you currently live?,Highest Completed Education,"Indicate how important each of these is a guiding principle in your life… (1: not at all important, 5: extremely important [Social power, control over others, and dominance]","Indicate how important each of these is a guiding principle in your life… (1: not at all important, 5: extremely important [Wealth, material possessions, and Money]","Indicate how important each of these is a guiding principle in your life… (1: not at all important, 5: extremely important [Family security and safety for loved ones]","Indicate how important each of these is a guiding principle in your life… (1: not at all important, 5: extremely important [Self-discipline, self-restraint, resistance to temptations]","Indicate how important each of these is a guiding principle in your life… (1: not at all important, 5: extremely important [A varied life, filled with challenge, novelty and change]","Indicate how important each of these is a guiding principle in your life… (1: not at all important, 5: extremely important [An exciting life, stimulating experiences]","Indicate how important each of these is a guiding principle in your life… (1: not at all important, 5: extremely important [Equality, equal opportunity for all]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I consider how things might be in the future, and try to influence those things with my day to day behaviour]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I am willing to sacrifice my immediate happiness or well-being in order to achieve future outcomes]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I think that sacrificing now is usually unnecessary since future outcomes can be dealt with at a later time.]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [People who say we shouldn’t tamper with nature are being naïve]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I would prefer to live in a world where humans leave nature alone]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [If things continue on their present course, we will soon experience a major ecological catastrophe]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [The so-called “ecological crisis” facing humankind has been greatly exaggerated]","Please complete the phrase and elaborate:

Carbon Dioxide Removal is an opportunity to...","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I am confident I know what climate change is]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I am confident I know the causes of climate change]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [Climate change is a serious problem]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I am personally affected by climate change]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I am very worried about climate change]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I am confident I know the basics of CDR]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I am confident I have advanced knowledge of CDR]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I am confident I could explain what CDR is to others]","Indicate your level of agreement with the following statements... (1: totally disagree, 7: totally agree) [I am confident I could teach others what CDR is and how it works]"
04/11/2023 02:14:13,GAFEMU26,42,Male,Canada,Bachelor's,3,3,5,3,4,4,4,5,5,3,2,4,6,1,"limit climate change, buy us time to find non-carbon alternatives for hard to abate processes, and possible reverse some global warming.",6,6,7,7,6,4,1,4,2
04/11/2023 06:35:44,LAAUSE31,36,Female,United States of America,Bachelor's,2,3,5,3,5,5,5,6,7,2,3,2,7,1,Save the planet in many wacky and wonderful ways. There are so many ingenious solutions people have come up with that I have hope that we can get them up to the scale we need.,7,7,7,7,7,4,1,6,5
04/11/2023 08:41:25,MOFELY02,39,Female,Switzerland,Master's,4,4,4,4,5,5,5,6,5,3,6,5,7,1,Create an impact in solving one of the biggest global challenge of our time.,5,5,7,4,6,3,1,2,1
04/11/2023 13:49:43,JASEHI27,45,Male,United Kingdom,Bachelor's,3,3,4,4,5,4,4,6,4,3,2,4,7,1,"have a huge impact on saving the planet. I understand it to be an underinvested/supported area, but a necessary thing to happen to keep within the Paris Agreement goals on climate change.",7,7,7,6,7,5,3,5,3
05/11/2023 03:11:22,ELJUDC15,27,Female,United States of America,Bachelor's,2,4,5,2,5,4,5,5,3,3,5,3,6,2,avert climate catastrophe by helping us reverse course on some of the harms we've caused and buy us time to find more eco friendly alternatives,6,5,7,6,6,2,1,2,1
06/11/2023 00:08:16,ardean21,41,Male,Canada,PHD / MBA,3,3,4,4,5,5,4,6,6,4,5,6,7,3,"reduce carbon dioxide, and therefore slow down climate change",7,7,7,7,6,5,4,4,4
06/11/2023 07:20:56,KAMASATH,16,Male,United States of America,High School,2,4,4,5,4,5,5,6,6,2,5,2,7,2,help in the reversal of climate change and provide additional time to stop current pollution,7,7,7,5,4,5,3,6,5
06/11/2023 15:52:20,SAJALO17,53,Male,United Kingdom,PHD / MBA,1,3,5,3,4,4,2,5,6,3,7,5,7,1,"avoid the most cataclysmic temperature increase scenarios and fix some of the problems we have caused over the past 100 years

Without CDR, we have no chance of avoiding a 1.5° and almost zero chance of avoiding a 2° C increase outcome.",6,7,7,2,5,7,2,6,6
06/11/2023 16:11:32,CANOWH01,30,Male,United States of America,Bachelor's,2,3,4,3,3,5,5,7,4,3,3,5,7,1,buy more time for humans to de-carbonize our energy grid before we cause irreversible ecological disaster,7,6,7,7,7,3,2,2,2
06/11/2023 17:10:15,MEFELO21,25,Female,United States of America,Bachelor's,2,4,5,3,5,4,5,4,5,2,3,5,7,1,Engineer a sustainable future,7,6,7,7,7,1,1,1,1
07/11/2023 01:11:53,JUJUSF15,56,Female,United States of America,Master's,1,2,5,5,4,5,5,7,6,2,4,7,7,1,"Limit harm from climate change by helping reduce global temperatures, protect land, water, and vulnerable populations, innovate, create jobs, reduce air pollution",7,7,7,7,7,5,1,5,4
07/11/2023 03:01:15,jamano31,30,Female,United States of America,Master's,3,4,4,3,5,5,5,5,5,3,7,1,7,1,connect western-thinking communities with basic environmental literacy in effort to collaboratively address climate change.,7,7,7,7,7,5,2,4,3
07/11/2023 05:47:39,MAJUWI11,67,Male,United States of America,PHD / MBA,3,3,3,3,4,5,3,6,5,3,6,2,7,1,to accomplish an impossible task that is very necessary and timely,4,5,7,5,7,5,5,5,5
07/11/2023 11:52:15,DOPOLCO13,27,Male,Sweden,Master's,2,4,4,5,5,5,5,6,5,2,2,7,7,1,create a paradigm shift in how humans interact with the world ,7,7,7,7,6,7,6,7,7
07/11/2023 12:56:55,LESEHE03,39,Female,Switzerland,PHD / MBA,1,2,4,4,4,3,5,6,4,1,1,2,6,1,lessen the effects of climate change. It's a very important part of a myriad of solutions to help save the planet that is being devastated by human activity and behavior.,7,7,7,5,7,6,2,4,3
07/11/2023 14:48:11,DRFESA22,35,Male,United Kingdom,Master's,2,2,5,4,4,4,4,5,5,2,4,6,7,1,Innovate around a stagnant political battleground of limiting emissions ,6,6,7,4,7,4,1,4,2
07/11/2023 19:32:08,SUSEPOM13,28,Female,United States of America,Bachelor's,1,2,5,3,5,5,5,7,6,1,4,5,7,1,"actively remove pollutants from the air while trying to reach and catch up to our lofty and necessary goals/laws around CO2 levels, etc",6,5,7,7,7,2,1,2,1
08/11/2023 15:55:00,CHDEST18,41,Male,Sweden,Master's,1,4,4,2,3,3,4,5,5,1,6,3,7,1,continue a civilised life on the only planet we have.,6,6,7,4,6,5,3,6,6
08/11/2023 17:17:45,MASECA20,32,Female,Italy,Master's,2,4,5,3,5,5,5,7,6,2,3,2,7,1,"reshape our environmental legacy, to not just mitigate the effects of our industrial past but actively work towards a cleaner, more sustainable future. It's a chance to employ innovative technologies and natural solutions that can restore balance to our atmosphere, presenting a unique convergence of environmental stewardship and scientific advancement. By removing excess carbon dioxide, we can help stabilize climate patterns, rejuvenate oceanic health, and even create new industries and jobs centered around green technologies.",6,6,7,6,6,6,2,7,6
14/11/2023 22:59:30,KPMAABSU,30,Male,Ghana,Bachelor's,1,1,5,5,5,1,5,7,7,1,1,7,7,1,Find solution to mitigating the excessive carbon content in the atmosphere.,7,6,7,7,7,7,5,7,7
27/12/2023 04:42:42,MUAUAN04,18,Female,Uzbekistan,High School,5,3,5,5,5,5,5,4,4,2,3,4,3,1,Carbon Dioxide Removal is an opportunity to breathe freely,5,6,7,6,7,3,2,2,1
27/12/2023 04:55:18,AmMaBu28,37,Male,United Arab Emirates,PHD / MBA,2,3,5,3,4,4,4,7,6,3,4,5,5,3,Reshape our world and our global economy,5,5,5,2,3,6,4,7,6
27/12/2023 04:55:59,REOCYO19,29,Male,United States of America,Bachelor's,4,4,4,4,4,4,4,4,6,2,6,6,6,2,meet IRA GHG goals and save the climate,6,6,6,6,6,4,4,4,4
27/12/2023 05:02:15,SANOGU20,32,Female,India,Master's,3,3,5,4,5,4,4,6,4,2,2,6,7,2,"achieve decarbonization goals and prevent climate change due to accumulation of CO2 in the atmosphere. Technological achievement in CDR area (striking right balance with cost, execution and overall impact) would be the greatest feat of this century. ",7,7,7,7,7,7,6,6,6
27/12/2023 05:34:26,Urjupr30,51,Male,South Africa,Dip. Mech engineering ,1,1,5,5,5,5,5,6,6,2,2,2,7,1,Seize,7,7,7,7,7,6,6,5,5
27/12/2023 05:51:52,KAAULI30,33,Male,United States of America,Bachelor's,1,3,5,4,5,5,5,7,6,2,4,7,6,2,create a sustainable and thriving future for the people of our planet. ,4,4,7,2,4,2,1,3,1
27/12/2023 05:55:43,NEMAKA12,23,Female,India,Master's,4,3,5,5,5,5,3,3,3,3,1,7,7,1,Nature,2,2,7,7,7,1,1,1,1
27/12/2023 06:00:48,UMJUCO29,27,Male,United States of America,Bachelor's,1,3,4,3,3,3,3,5,6,2,2,6,5,2,help fight climate change,3,3,4,3,4,1,1,1,1
27/12/2023 06:06:29,RAAPMA18,23,Male,India,Bachelor's,4,4,5,5,4,5,4,6,6,1,2,7,7,1,Rebuild the planet,6,6,7,5,6,5,4,4,4
27/12/2023 06:17:45,RAAPDE04,29,Male,India,Master's,5,5,5,5,5,5,5,7,6,1,5,5,7,3,bring the global temperature at manageable level,7,6,7,7,6,7,7,7,7
27/12/2023 07:08:52,JaFeCl22,39,Female,United States of America,Master's,1,4,5,3,5,5,5,1,2,6,3,2,1,7,help with the environmental crisis as clearly we are not acting fast enough ,7,7,7,7,7,7,4,5,4
27/12/2023 07:10:23,GRNONA27,35,Male,Kenya,Master's,1,1,5,5,5,5,5,6,7,2,5,5,7,2,build a better future,7,7,7,7,7,5,4,3,3
27/12/2023 07:42:04,MAMAVI20,51,Male,Netherlands,Master's,2,4,5,4,4,4,5,5,4,3,6,5,5,3,carefully explore,5,3,6,2,3,6,4,6,4
27/12/2023 08:23:45,MAFEAV5,33,Male,United States of America,Bachelor's,1,3,3,4,4,4,3,4,6,3,4,4,4,4,work on an interesting problem that has a potential to make a huge difference in the word,4,4,4,4,4,1,1,1,7
27/12/2023 08:29:46,ARFEHY22,34,Male,India,Master's,4,3,5,5,5,5,4,5,6,2,7,1,7,1,Ensure we do not go down a path of climate catastrophe - We absolutely need CDR in addition to emissions reductions,5,5,6,5,5,5,2,3,2
27/12/2023 08:43:46,ANFETE05,36,Male,Spain,Master's,1,3,5,3,4,4,5,6,5,2,3,3,5,1,Put a break on the most pressing issue on climate change without compromising biodiversity ,6,5,6,4,4,2,1,2,1
27/12/2023 09:25:06,NAJUBO3,42,Female,Ukraine,Master's,2,2,3,4,4,3,4,6,6,3,4,2,6,2,"To introduce a new system of economics, to unite people around the globe, to learn more about nature and the planet and our role as caretakers",4,5,6,6,6,5,2,5,3
27/12/2023 09:31:13,Elmaha20,35,Female,Germany,Master's,2,4,5,3,5,5,5,6,6,3,3,5,6,2,Help our planet heal. Do something meaningful for humanity,6,5,7,6,5,1,1,1,1
27/12/2023 09:35:55,TEOCOD31,43,Male,United States of America,PHD / MBA,1,1,5,3,5,5,5,7,5,5,1,5,3,7,Harvest and reuse the valuable commodity,7,7,4,6,6,5,5,5,5
27/12/2023 10:39:57,midesa25,48,Female,Germany,Master's,1,1,4,4,5,3,5,7,7,1,6,7,7,1,"change the future and the course of human knd. We have now the ability to change how things are heading and decide how the future generations will live. We are reaching the tipping point, it's already too late to wait. ",5,5,6,6,7,4,2,2,2
27/12/2023 10:57:00,ANFEAL01,45,Male,Spain,Master's,2,3,5,4,5,5,5,6,6,2,7,5,7,1,reach the 1.5 C degrees path required to make long term living on earth possible. Plus CDR technology will make it possible to create lots of carbon-based products that are currently made from crude oil and instead make those from CO2 removed from the air.,7,7,7,5,7,7,5,5,5
27/12/2023 11:22:26,VAJUCH11,30,Female,Kenya,Bachelor's,2,5,5,5,4,3,3,4,6,3,1,5,7,7,Save our planet ,4,3,4,5,5,2,1,1,1
27/12/2023 12:03:11,LUAUMI2,30,Male,Belgium,Master's,1,3,4,2,5,4,4,5,3,1,1,3,7,1,reverse humanity's negative impact on the climate and build a better future.,5,5,7,6,6,6,3,5,2
27/12/2023 12:07:24,MUJAIS26,38,Male,Bahrain,Master's,1,1,5,5,4,5,5,6,5,2,4,4,7,2,"save the planet, our children and their next generations (and non-humans) from the risk of extinction. ",6,6,7,7,7,5,5,5,4
27/12/2023 12:19:06,SVJUMI05,36,Male,Estonia,PHD / MBA,3,3,5,4,5,5,5,6,5,2,4,5,7,1,"help the effort to slow down climate change and reach Paris Agreement objectives. We need to do CDR since there is alreadly so much CO2 in the atmosphere and it has a lifetime of ~100 years and keeps warming the atmosphere.

It's important to note CDR is supporting and NOT replacing the efforts of phasing out fossil fuel use and can't be used as an excuse to keep using fossil fuels.",7,7,7,5,7,6,4,6,5
27/12/2023 13:37:41,SONOUM17,25,Male,India,Bachelor's,3,3,4,5,4,4,4,5,4,2,1,1,7,7,"Reduce net emissions i.e. also removing CO2 that has already accumulated in the atmosphere.CDR can be significant way to achieve net-negative emissions to GHG emssiosn and Lower global temperature,",6,6,7,5,7,5,3,5,2
27/12/2023 14:11:18,MIAUCH10,33,Female,United States of America,Master's,2,3,5,2,5,5,5,7,5,1,7,2,7,1,slow carbon emission rates while the global energy mix transitions to cleaner energy sources,7,7,7,3,7,7,5,7,5
27/12/2023 14:13:49,SEAUAI31,23,Female,France,Master's,2,3,5,3,4,5,4,6,6,2,3,4,5,2,Buy us some time to change societies towards more sustainable ones.,7,7,7,3,4,4,1,4,1
27/12/2023 14:24:03,LUJUJU22,29,Female,United Kingdom,Master's,2,2,3,2,5,5,5,6,3,4,1,4,7,1,tackle the climate crisis as a whole. There's no future without carbon removal (at the same time we mitigate GHG emissions!),7,7,7,5,7,6,3,3,3
27/12/2023 14:30:22,SOJUDU29,27,Male,United Kingdom,Bachelor's,2,4,5,3,4,4,4,5,3,3,3,3,5,3,Extend how long humanity can thrive on Earth,6,6,7,4,5,5,3,4,4
27/12/2023 14:54:40,MAOCBE8,28,Male,Frances,Master's,3,4,5,5,5,5,5,4,6,2,5,4,5,2,remove CO2 from the atmosphere and lessen the impact of climate change,5,5,7,6,6,1,1,1,1
27/12/2023 14:55:02,SUMARO25,44,Male,United States of America,Bachelor's,2,1,5,3,5,5,5,5,6,4,4,4,6,1,Transition to a just technological society that can build with sustainable intention,6,6,7,5,6,5,2,5,4
27/12/2023 15:59:56,Brmaos12,41,Male,Canada,PHD / MBA,2,3,5,3,5,5,5,7,6,3,3,1,7,1,Give us more time to learn to appreciate the gifts of nature,7,6,7,5,6,2,1,2,1
27/12/2023 16:17:19,MAJUBA02,23,Female,Switzerland,Bachelor's,2,3,5,5,5,5,5,6,4,6,4,4,7,3,leave a better world for future generations,5,6,7,4,5,6,3,3,2
27/12/2023 17:02:37,GRMAMI03,40,Male,United States of America,Master's,3,3,3,3,3,3,3,4,4,4,5,3,5,3,Rebalance our climate,5,5,6,5,6,5,4,5,5
27/12/2023 17:07:55,GRDEEL9,29,Female,United States of America,Master's,2,3,4,3,5,5,3,5,6,2,3,5,7,1,Make up for what humans have done to the planet and create a future that is bright,7,7,7,7,7,5,3,7,6
27/12/2023 17:12:40,ROSECA22,52,Male,United States of America,PHD / MBA,2,2,4,5,5,5,3,5,7,1,4,3,6,3,reduce government control over individual rights.,4,3,6,6,4,6,4,3,2
27/12/2023 17:14:47,HAAPRO18,70,Male,United States of America,BA/MD,3,2,5,4,5,3,4,6,7,3,2,3,7,2,… impact in a significant way the issue of rising human triggered fossil fuel released CO2,6,5,7,6,7,5,5,5,5
27/12/2023 17:15:08,SUOCBE02,39,Male,United States of America,Master's,1,4,5,3,5,5,5,5,3,3,4,5,6,1,Mitigate the harm that humans have caused to the atmosphere by burning fossil fuels and limit temperature increase.,7,7,7,6,2,3,2,2,1
27/12/2023 18:51:48,GESENE20,68,Male,United States of America,Bachelor's,2,3,5,3,5,5,4,6,5,2,4,4,7,1,"have an impact on the ongoing habitability of the earth for many species. However, I am concerned that the ability to remove carbon dioxide may be construed as a license to produce more of it. I'm convinced that even if we could change our way of life tomorrow to one with no CO2 emissions, we would still need to remove a lot of CO2 to reduce the effects of the CO2 that has already been released. The problem is that removal is an unproven technical initiative which is attractive to techies like me, but energy conversion is more of a socio-economic challenge. We know how to produce green energy and change development patterns, but we don't really want to. ",7,7,7,7,7,7,3,7,4
27/12/2023 19:18:02,HEGEMLU19,53,Female,United States of America,Bachelor's,1,2,4,5,5,5,5,5,6,1,2,6,7,1,heal the planet for the future generations.,6,5,6,6,3,3,2,2,1
27/12/2023 19:45:07,MAJUCH21,40,Female,Canada,Master's,2,3,5,3,5,4,5,4,3,2,3,6,7,2,prove that the such mitigation measures can be effective and has the potential to be the POC for other future 'removals' because humans are going to need to use this approach for a long time to come.,6,6,7,4,6,1,1,4,1
27/12/2023 19:47:33,NEDEPE28,27,Female,United Kingdom,Bachelor's,1,2,3,1,2,2,3,6,6,5,5,4,6,2,Restore the planet to healthy levels of warming,7,7,7,7,7,7,5,7,5
27/12/2023 20:05:37,NAJUSA27,37,Female,United States of America,PHD / MBA,2,2,4,2,5,5,4,6,6,2,3,4,6,2,use my scientific background and policy analysis skills to find meaningful work,5,4,5,5,5,2,1,1,1
27/12/2023 20:14:06,DIFESP28,62,Male,United States of America,"JD, Masters",1,5,5,4,5,5,5,6,6,1,7,7,6,2,Reverse the impact of industrialization on the environment,5,5,7,6,7,3,3,3,3
27/12/2023 20:19:47,DOAPRO18,70,Male,United States of America,BA/MD,2,2,3,4,4,3,3,4,3,2,3,2,4,1,Make my grandchildren’s life better,7,6,7,4,7,6,5,5,4
27/12/2023 20:43:26,LOSEWA7,22,Female,United States of America,Bachelor's,1,1,5,5,5,5,3,7,6,2,5,3,6,3,clean up the world,5,5,6,6,3,5,2,4,1
27/12/2023 22:02:00,Assepu09,39,Male,United States of America,Master's,1,1,5,5,5,3,3,6,6,2,2,2,6,4,Get our seasons back,6,6,7,6,7,6,5,6,5
27/12/2023 22:40:32,LAAPFL02,47,Female,Brazil,PHD / MBA,2,3,5,5,5,5,5,6,5,6,2,3,7,2,"
Carbon Dioxide Removal is an opportunity to strengthen planetary health and equity. In the case of soil carbon removal, it allows us to harness the soil's inherent capacity as a carbon sink via regenerative agricultural practices. This method not only ensures food production security but also creates valuable natural assets, funding those driving regeneration. It charts a path towards a restored ecosystem, preserving it for future generations.",6,6,7,6,7,7,6,6,6
27/12/2023 23:03:38,MAJUFI03,37,Diverse,United States of America,Apprenticeship,3,3,5,2,4,4,5,7,6,2,3,5,4,1,…buy us more time to implement carbon neutral and carbon negative technologies and practices.,6,6,7,5,2,4,1,3,1
27/12/2023 23:25:17,NAAUOR26,40,Female,Russia,Master's,4,3,5,2,3,4,4,5,3,5,5,3,4,4,deacrese negative human impact and test for human's creativity ,6,6,5,1,4,1,1,1,1
27/12/2023 23:37:31,REMANE4,28,Female,United States of America,Bachelor's,1,3,5,2,3,3,5,7,6,2,6,3,7,1,"Directly combat human-driven climate change and compensate for perpetrated harm to our planet through investment in technology, innovation, and atmospheric removal.",5,5,7,6,7,5,3,5,3
